Beat_Interval,Systolic,Diastolic
0.72,149.84,58.157
0.728,148,57.325
0.728,146.41,57.773
0.712,143.27,57.335
0.712,140.62,56.646
0.696,141.62,57.581
0.68,141.45,57.966
0.672,143.08,59.669
0.696,145,59.047
0.688,145.08,55.32
0.688,142.92,58.753
0.68,144.73,58.445
0.704,146.05,55.315
0.704,142.34,57.72
0.696,144.24,57.28
0.696,143.23,57.576
0.712,143,56.892
0.712,143.99,58.011
0.72,141.84,56.161
0.72,141.84,55.913
0.68,171.78,69.096
0.68,171.87,69.64
0.688,164.24,67.782
0.68,173.7,70.278
0.68,172.22,68.62
0.672,171.74,70.272
0.672,173.8,71.398
0.68,166.32,68.803
0.688,175.76,69.395
0.688,171.62,68.419
0.68,171.76,69.102
0.688,172.59,67.744
0.704,170.1,68.664
0.704,173.45,67.301
0.696,169.88,66.373
0.696,168.66,67.793
0.672,170.8,69.939
0.68,165.45,68.367
0.68,171.75,69.634
0.688,170.25,66.709
0.704,169.67,66.816
0.696,170.21,68.471
0.704,167.18,66.62
0.704,170.23,67.682
0.712,168.7,65.741
0.704,168.1,66.946
0.504,154.75,78.671
0.496,154.4,80.526
0.488,155.8,80.046
0.504,155.76,78.275
0.512,153.78,80.686
0.496,157.4,80.229
0.504,154.89,79.545
0.512,152.68,77.8
0.504,153.03,79.417
0.504,154.64,79.017
0.504,154.96,79.31
0.504,154.37,79.109
0.512,153.69,78.537
0.504,152.84,78.923
0.504,154,79.451
0.512,153.71,79.314
0.512,153.72,79.363
0.512,151.52,78.28
0.52,152.47,78.089
0.52,151.95,77.108
0.52,150.79,75.06
0.528,147.35,76.189
0.512,148.03,75.748
0.52,149.26,76.935
0.52,146.96,73.729
0.504,150.4,79.216
0.536,149.5,75.851
0.488,147.71,71.694
0.56,144.94,75.786
0.512,148.29,75.887
0.52,148.05,74.044
0.512,141.63,73.306
0.512,141.19,73.835
0.504,146,74.261
0.512,146.18,76.974
0.512,154.86,78.915
0.512,157.36,78.04
0.528,152.77,75.558
0.512,146.94,75.784
0.52,148.56,74.727
0.52,149.66,73.164
0.512,146.91,74.959
0.504,148.87,74.181
0.528,146.89,74.874
0.504,148.22,75.455
0.504,147.78,76.229
0.512,149.04,76.627
0.504,149.86,78.23
0.504,155.7,83.27
0.504,162.38,84.931
0.512,161.41,82.933
0.504,156.2,83.688
0.504,159.63,83.368
0.512,161.88,83.666
0.496,158.63,82.564
0.52,157.8,83.213
0.52,162.27,82.543
0.504,160.78,82.041
0.52,156.02,78.325
0.52,156.27,80.287
0.424,159.27,80.286
0.528,151.6,76.724
0.504,152.6,74.83
0.496,156.72,80.58
0.536,152.95,76.66
0.512,153.13,77.591
0.52,150.5,80.087
0.504,156.27,80.091
0.512,153.24,77.841
0.512,151.91,80.918
0.504,157.47,81.014
0.504,158.35,81.17
0.504,157.07,82.005
0.504,158.18,81.899
0.504,180.19,74.679
0.504,185.46,75.997
0.496,185.17,75.598
0.496,184.65,76.925
0.504,183.82,76.242
0.496,185.57,78.768
0.496,185.34,77.609
0.504,185.44,77.836
0.496,185.13,78.19
0.496,185.2,77.791
0.504,185.39,78.085
0.504,185.4,77.401
0.504,185.45,75.314
0.544,180.15,71.304
0.56,180.53,71.203
0.544,180.58,71.842
0.552,185.28,73.401
0.544,185.35,71.939
0.544,183.59,68.854
0.552,180.57,68.256
0.544,182.91,69.253
0.544,182.23,67.828
0.536,179.74,65.971
0.552,175.83,65.008
0.536,175.18,64.897
0.568,184.01,68.712
0.568,182.71,67.792
0.56,179.42,67.34
0.56,179.39,67.34
0.552,185.03,69.339
0.568,184.31,67.592
0.552,183.31,68.411
0.568,180.3,66.424
0.56,177.8,65.976
0.544,176.4,66.412
0.568,183.31,67.69
0.552,181.83,66.9
0.728,105.87,56.314
0.776,105.5,57.732
0.736,106.47,56.999
0.752,104.29,56.413
0.744,105.08,56.736
0.736,106.87,55.77
0.768,109.26,56.306
0.72,104.07,55.186
0.712,105.77,54.849
0.76,104.08,55.529
0.792,102.38,56.458
0.744,105.75,55.97
0.752,102.81,55.436
0.728,101.88,50.819
0.728,109.61,55.274
0.816,105.36,54.652
0.712,103.86,54.779
0.712,103.29,56.847
0.752,103.44,55.924
0.744,105.82,55.873
0.776,110.83,56.655
0.68,97.962,54.3
0.88,112.47,56.167
0.832,114.47,58.457
0.824,112.81,56.897
0.696,113.37,63.42
0.664,114.75,60.313
0.744,109.85,58.018
0.824,111.22,56.656
0.784,105.28,55.876
0.8,108.29,58.416
0.712,107.32,58.41
0.824,107.26,55.241
0.848,103.88,55.972
0.816,110.18,56.215
0.704,109.82,60.124
0.8,109.27,59.145
0.824,110.23,56.413
0.736,106.69,57.732
0.824,116.26,59.246
0.808,112.33,57.487
0.8,116.02,58.12
0.816,112.41,59.979
0.808,104.06,56.115
0.808,108.5,56.853
0.792,109.63,57.878
0.864,110.41,58.123
0.664,114.43,63.052
0.8,100.23,50.646
0.8,99.543,50.6
0.816,100.87,50.941
0.728,103.15,53.089
0.824,103.55,52.554
0.816,104.28,51.187
0.712,103.3,55.923
0.824,106.26,52.648
0.832,105.6,51.625
0.696,103.16,56.998
0.84,106.89,51.771
0.688,103.77,54.8
0.84,104.19,52.751
0.832,104.18,50.792
0.68,101.24,53.674
0.808,98.881,53.082
0.816,114.19,54.606
0.76,112.43,55.68
0.808,113.61,53.873
0.816,111.74,53.774
0.768,113.37,55.924
0.784,111.05,52.843
0.84,112.73,53.432
0.8,104.82,51.232
0.8,103.83,50.552
0.8,103.53,50.552
0.792,104.59,52.994
0.8,104.75,50.991
0.8,103.48,50.552
0.784,103.71,52.505
0.8,105.36,51.429
0.744,112.05,57.878
0.752,114.17,57.191
0.752,113,56.848
0.752,112.51,58.217
0.752,114.85,57.927
0.744,114.44,57.578
0.744,113.88,57.725
0.752,114.54,59.441
0.752,115.98,58.166
0.76,116.24,57.976
0.696,114.53,59.582
0.768,113.86,56.753
0.752,116.52,58.901
0.752,114.66,57.287
0.752,113.83,56.654
0.744,112.47,57.927
0.744,114.68,57.194
0.696,112.91,59.09
0.752,111.76,56.215
0.744,112.44,56.215
0.744,111.98,57.58
0.76,113.54,56.315
0.744,111.65,55.773
0.744,110.97,57.092
0.76,113.21,56.315
0.752,111.83,55.775
0.744,110.99,56.848
0.672,97.896,52.554
0.664,98.424,52.544
0.664,97.932,52.867
0.656,97.916,52.429
0.672,102.25,53.166
0.664,98.51,53.096
0.672,99.999,52.779
0.672,98.069,52.036
0.672,97.174,51.535
0.656,99.009,52.856
0.664,97.486,52.118
0.664,96.384,51.499
0.672,99.228,51.686
0.648,96.862,51.53
0.664,96.365,51.061
0.672,96.021,50.757
0.664,98.234,52.349
0.656,96.636,51.398
0.672,96.389,51.301
0.672,99.52,51.843
0.656,96.689,51.527
0.672,102.11,56.029
0.64,102.5,57.555
0.656,100.81,55.674
0.656,102.43,56.224
0.656,100.74,56.5
0.664,102.43,55.237
0.656,100.56,55.791
0.656,100.54,56.024
0.68,99.887,54.848
0.656,100.77,56.18
0.656,99.762,55.703
0.664,101.94,55.563
0.656,103.35,55.786
0.656,100.1,55.362
0.672,100.53,55.079
0.656,98.823,54.341
0.672,99.323,54.742
0.672,100.07,54.542
0.648,97.875,54.116
0.664,97.936,53.508
0.672,98.554,55.555
0.64,100.32,55.231
0.68,101.23,54.542
0.648,98.816,54.544
0.656,98.204,55.479
0.664,103.9,55.543
0.664,103.81,58.793
0.552,105.54,64.536
0.584,107.14,61.528
0.552,115.62,68.801
0.568,110.39,65.364
0.568,102.73,65.37
0.608,105.18,64.113
0.568,117.44,68.923
0.6,103.25,64.934
0.56,118.87,70.584
0.608,106.25,64.432
0.608,105.86,65.171
0.56,121.49,71.014
0.616,107.41,63.294
0.608,108.2,64.773
0.616,106.99,62.431
0.616,100.7,59.621
0.56,113.87,66.917
0.616,101.69,60.564
0.56,117.31,66.481
0.624,105.22,62.358
0.568,118.47,66.721
0.616,101.16,58.674
0.608,99.996,59.107
0.56,120.71,73.058
0.736,109.87,62.241
0.568,121.71,73.719
0.472,104.83,71.223
0.688,117.97,65.879
0.552,112.38,71.505
0.632,107.93,65.29
0.584,123.4,73.795
0.672,109.14,64.977
0.568,121.9,73.205
0.632,106.67,65.044
0.56,117.11,73.406
0.656,112.43,66.415
0.568,121.8,73.28
0.648,105.83,63.995
0.568,119.19,72.973
0.64,106.64,64.86
0.576,120.45,71.808
0.64,104.89,63.836
0.648,103.12,63.685
0.568,117.13,70.476
0.648,103.24,62.239
0.568,116.9,69.629
0.656,108.04,63.685
0.568,116.2,69.629
0.64,102.11,61.016
0.576,113.89,67.728
0.624,99.475,60.988
0.656,100.63,59.938
0.648,104.76,62.669
0.56,117.1,70.358
0.656,106.94,63.914
0.568,118.16,70.668
0.648,103.58,61.931
0.568,115.99,68.988
0.648,101.27,62.234
0.576,117.75,70.095
0.648,103.98,63.531
0.56,117.41,72.342
0.648,105.44,64.114
0.552,122.85,76.111
0.664,120.38,74.965
0.568,125.7,75.865
0.648,107.18,64.308
0.648,108.36,65.602
0.568,117.45,71.345
0.64,103.43,64.74
0.568,120.36,73.526
0.632,106.88,64.03
0.656,107.57,64.933
0.56,121.6,73.71
0.648,109.49,64.614
0.56,116.6,72.973
0.592,107.73,67.786
0.576,118.98,69.031
0.576,115.41,69.132
0.584,121.02,69.927
0.576,117.06,68.161
0.576,116.87,70.053
0.576,121.25,70.588
0.584,119.73,68.526
0.576,116.62,68.796
0.568,117.95,70.4
0.592,123.79,71.192
0.568,120.41,70.991
0.584,119.63,68.718
0.568,115.89,69.936
0.584,122.52,70.17
0.576,119.81,68.161
0.576,115.7,68.828
0.576,118.5,69.656
0.576,119.59,69.307
0.656,107.5,63.182
0.568,119.93,69.86
0.56,121.78,70.603
0.6,125.74,70.095
0.576,118.65,69.316
0.56,119.27,69.746
0.576,119.82,68.989
0.584,118.36,67.233
0.544,116.01,70.042
0.736,116.05,59.974
0.68,126.61,66.929
0.776,113.03,60.057
0.608,124.32,69.316
0.736,105.68,57.28
0.616,123.63,66.411
0.736,102.8,57.905
0.656,127.86,66.923
0.68,108.2,57.588
0.744,123.13,64.12
0.552,109.68,62.752
0.784,111.64,58.178
0.736,106.95,53.59
0.496,96.867,61.948
0.92,107.67,52.008
0.744,123.58,62.903
0.544,106.19,64.93
0.76,108.21,56.931
0.6,122.43,67.789
0.76,111.83,58.296
0.608,121.99,66.816
0.736,100.5,57.671
0.608,126.63,70.095
0.728,104.8,56.108
0.64,107.4,60.251
0.816,121.29,59.154
0.776,117.56,59.306
0.56,114.68,67.469
0.56,111.32,65.407
0.8,121.83,61.362
0.56,123.78,71.132
0.736,106.14,57.139
0.704,128.12,66.864
0.68,118.44,64.35
0.784,121.94,58.435
0.696,124.77,66.05
0.544,113.71,68.045
0.784,114.2,56.442
0.768,133.06,63.057
0.736,117.39,62.009
0.712,128.03,66.871
0.528,116.87,70.14
0.64,119.81,64.529
0.872,131.56,58.611
0.792,126.21,60.897
0.712,125.86,63.699
0.808,127.73,60.836
0.808,120.92,58.314
0.6,120.1,68.028
0.76,109.68,56.441
0.84,126.48,61.245
0.792,119.72,58.316
0.568,120.38,69.775
0.672,107.34,59.898
0.848,129.99,60.136
0.792,121.79,62.067
0.672,122.28,64.17
0.584,106.34,62.179
0.8,128.34,63.181
0.824,124.62,57.73
0.8,123.56,61.362
0.656,120.21,65.506
0.696,117.47,61.423
0.688,121.82,65.981
0.752,116.11,58.317
0.816,132.17,61.242
0.576,114.06,65.52
0.808,121.55,61.835
0.584,126.37,69.97
0.784,132.05,64.059
0.728,109.16,60.251
0.6,127.95,70.795
0.752,112.2,58.253
0.568,126.02,72.73
0.72,108.49,59.02
0.584,126.49,70.552
0.736,105.08,58.551
0.712,101.9,57.086
0.72,108.4,58.607
0.72,106,55.911
0.784,127.75,62.005
0.744,116.4,59.19
0.72,104.69,58.665
0.616,126.85,67.861
0.792,102.5,50.989
0.808,113.53,52.163
0.576,107.84,59.604
0.728,94.784,50.049
0.808,114.93,52.105
0.832,111.83,51.108
0.792,109.68,51.167
0.816,118.88,54.215
0.576,111.26,60.308
0.784,97.67,51.812
0.768,117.66,54.153
0.84,115.25,52.69
0.792,111.41,53.336
0.568,112.59,62.702
0.768,98.827,50.226
0.784,115.17,53.805
0.808,119.57,54.152
0.808,114.18,53.218
0.6,111.84,59.362
0.656,92.788,54.15
0.744,117.05,55.969
0.856,114.08,53.628
0.816,117.65,54.213
0.728,111.33,56.79
0.616,115.09,59.893
0.608,110.82,57.775
0.616,110.31,57.726
0.6,109.81,59.596
0.608,112.58,60.593
0.608,112.3,58.122
0.608,109.15,60.831
0.608,112.95,61.715
0.608,115.52,60.882
0.6,111.65,59.538
0.68,114.38,58.492
0.616,113.09,61.648
0.6,111.82,61.999
0.6,118.42,61.111
0.616,115.05,62.996
0.608,116.23,63.474
0.6,114.8,60.475
0.616,112.36,59.893
0.6,113.98,63.348
0.6,117.35,64.168
0.6,117.06,61.54
0.6,112.88,59.831
0.608,112.73,63.181
0.592,116.39,64.227
0.608,118.03,61.066
0.6,112.5,62.238
0.6,115.7,63.465
0.608,117.31,61.237
0.608,113.07,59.307
0.6,114.6,63.122
0.592,116.12,63.348
0.712,98.084,51.811
0.768,118.56,53.333
0.744,110.23,54.561
0.752,116.46,54.273
0.712,106.08,51.049
0.792,116.69,52.103
0.736,107.28,52.277
0.648,108.68,55.971
0.792,108.7,52.336
0.76,115.77,52.219
0.696,108.67,53.272
0.792,116.34,54.565
0.76,106.49,52.338
0.72,118.11,53.686
0.752,110.42,51.518
0.744,104.61,51.163
0.768,116.04,52.333
0.744,108.72,52.804
0.712,111.47,52.683
0.792,113.5,51.392
0.752,107.99,52.456
0.744,109.53,52.034
0.56,131.54,71.561
0.536,127.74,68.919
0.576,128.37,65.863
0.568,114.47,66.521
0.616,133.9,65.973
0.552,129.88,66.433
0.56,122.68,63.8
0.552,121.21,68.045
0.504,128.3,70.854
0.56,130.58,64.528
0.552,119.78,65.569
0.544,124.5,70.067
0.56,128.78,67.21
0.552,123.79,71.762
0.552,129.83,69.941
0.544,119.27,67.786
0.56,129.21,68.779
0.616,126.78,65.047
0.736,123.99,57.32
0.76,128.38,55.437
0.72,122.49,57.32
0.784,126.79,55.211
0.672,119.96,55.971
0.752,125.79,55.847
0.76,114,54.323
0.56,95.246,53.21
0.56,100.17,54.203
0.576,99.455,50.871
0.56,95.318,53.265
0.56,99.415,54.031
0.576,100.13,50.917
0.56,95.67,53.031
0.576,103.8,53.973
0.568,99.181,50.619
0.56,96.017,55.97
0.544,102.4,56.195
0.6,105.56,56.787
0.576,102.17,53.192
0.584,100.36,51.75
0.568,93.725,53.265
0.56,100.17,55.082
0.584,101.22,52.391
0.568,99.466,53.963
0.56,98.585,55.56
0.584,103.26,52.851
0.568,97.566,54.374
0.56,109.56,61.24
0.56,109.9,59.356
0.56,105.13,56.777
0.56,101.68,59.956
0.552,108.82,61.48
0.568,112.07,58.306
0.56,103.11,58.837
0.552,106.27,60.649
0.568,108.26,59.659
0.568,107.33,56.963
0.552,102.39,59.653
0.568,98.857,55.497
0.56,99.987,57.832
0.568,103.28,57.084
0.584,107.09,55.556
0.576,103.44,58.252
0.576,101.76,54.618
0.56,97.869,57.368
0.56,103.24,58.368
0.568,98.575,55.249
0.528,99.898,58.955
0.568,104.19,58.608
0.576,105.8,55.659
0.568,99.393,55.839
0.568,98.471,57.436
0.576,104.63,57.67
0.56,100.91,54.779
0.576,102.61,58.071
0.568,102.28,57.67
0.576,103.14,55.208
0.568,98.601,57.67
0.56,98.476,56.894
0.608,90.574,57.197
0.576,102.9,58.549
0.6,106.97,60.25
0.568,101.96,62.345
0.592,112.3,60.818
0.592,104.94,59.479
0.576,104.81,63.352
0.52,110.27,65.168
0.648,107.03,57.906
0.592,107.9,61.481
0.592,108.73,58.541
0.592,103.73,58.483
0.584,101.81,60.186
0.6,107.92,58.55
0.584,102.16,57.544
0.584,102.11,59.767
0.592,107.08,57.946
0.584,102.34,59.311
0.592,106.5,60.886
0.592,108.56,57.725
0.592,101.41,57.847
0.592,102.7,57.314
0.568,101.98,58.608
0.6,110.7,61.769
0.584,107.44,60.407
0.592,101.95,57.188
0.592,104.65,55.962
0.512,99.599,64.352
0.544,107.78,63.521
0.568,117.01,64.997
0.568,111.82,60.88
0.552,107.61,62.408
0.56,108.36,62.764
0.568,113.87,62.535
0.552,108.9,59.717
0.56,114.05,63.395
0.56,116.69,63.702
0.576,118.54,61.412
0.568,108.67,58.008
0.552,104.82,60.704
0.568,101.79,54.501
0.576,105.94,59.244
0.56,104.2,58.716
0.576,107.8,57.656
0.568,101.31,56.439
0.56,104.85,60.249
0.568,108.84,60.714
0.576,108.99,57.837
0.552,102.64,60.356
0.568,111.66,62.179
0.576,112.55,59.357
0.568,105.82,60.948
0.808,119.89,57.673
0.8,118.28,58.257
0.792,120.18,57.375
0.784,116.73,58.491
0.808,120.66,57.849
0.792,120.2,58.961
0.784,117.28,58.432
0.816,121.74,57.612
0.808,121.73,56.378
0.752,117.99,58.727
0.848,120.86,57.028
0.76,117.5,58.903
0.824,124.33,58.842
0.776,120.86,60.486
0.816,124.79,59.427
0.784,122.51,60.721
0.792,112.49,54.567
0.8,110.54,54.918
0.776,114.42,55.443
0.768,113.37,59.782
0.832,119.46,58.962
0.776,118.69,56.97
0.84,115.7,53.805
0.744,111.25,55.911
0.848,116.34,54.209
0.776,113.59,58.845
0.8,117.46,56.852
0.808,117.64,55.149
0.728,113.11,60.541
0.824,121.54,58.728
0.832,118.16,55.03
0.752,117.65,60.837
0.792,109.54,56.911
0.808,116.52,55.444
0.784,113.37,57.614
0.808,117.81,56.384
0.656,115.47,62.47
0.808,105.2,54.508
0.832,120.26,57.497
0.912,141.48,54.119
0.912,140.9,53.287
0.92,137.88,52.945
0.92,137.96,53.433
0.912,139.56,53.774
0.928,140.18,52.848
0.736,140.75,50.346
0.744,138.68,50.112
0.712,139.18,53.528
0.752,141.76,57.875
0.736,133.77,55.876
0.744,135.13,54.161
0.728,133.35,52.844
0.904,111.66,61.102
0.896,110.61,63.3
0.896,113.8,61.542
0.896,112.16,61.347
0.88,111.66,61.883
0.888,112.52,63.153
0.888,113.96,62.568
0.896,115.57,60.857
0.896,113.8,59.98
0.896,112.18,60.468
0.888,112.94,62.615
0.896,115.19,60.857
0.896,113.66,60.223
0.888,112.57,60.126
0.888,111.66,60.467
0.888,111.88,62.03
0.88,113.67,60.565
0.88,112.94,59.98
0.88,111.1,59.98
0.888,111.41,61.737
0.8,117.48,55.429
0.76,116.36,53.915
0.768,114.83,54.357
0.768,114.93,55.772
0.768,116.62,54.538
0.768,116.79,54.649
0.776,115.82,54.111
0.504,95.776,56.069
0.496,94.98,57.241
0.496,96.397,56.153
0.504,90.604,51.078
0.488,85.33,50.94
0.496,88.559,53.955
0.504,95.308,55.727
0.496,95.414,56.308
0.496,94.917,56.362
0.504,93.018,51.277
0.496,86.877,50.305
0.488,84.718,53.92
0.496,94.193,55.62
0.488,88.091,52.748
0.488,93.898,56.104
0.504,97.917,56.89
0.496,98.845,57.77
0.496,96.667,57.774
0.504,94.934,53.768
0.48,87.278,57.24
0.496,97.099,57.716
0.488,98.423,58.595
0.504,97.728,53.609
0.496,90.806,52.743
0.488,91.167,55.327
0.504,96.102,56.211
0.488,97.974,57.183
0.496,98.831,57.721
0.496,98.591,57.334
0.496,96.379,56.455
0.496,92.804,52.348
0.48,88.247,53.725
0.504,97.245,56.597
0.488,95.716,58.316
0.48,92.147,54.403
0.496,91.433,55.483
0.488,93.987,55.86
0.504,90.625,54.892
0.496,89.469,51.078
0.496,89.119,53.671
0.488,91.951,56.797
0.496,95.553,57.086
0.504,93.458,52.494
0.496,86.718,50.785
0.48,81.614,53.715
0.496,90.102,54.115
0.496,97.145,58.169
0.488,97.142,58.009
0.496,86.952,50.642
0.496,92.083,55.029
0.504,96.828,56.894
0.496,95.611,52.294
0.496,89.648,52.601
0.488,90.834,54.883
0.496,96.856,56.552
0.504,96.412,54.745
0.496,92.798,52.303
0.736,126.97,56.071
0.976,127.4,57.442
0.848,130.61,58.558
0.776,128.3,54.653
0.936,129.21,59.931
0.864,133.97,54.409
0.656,146.65,79.209
0.728,149.94,78.685
0.672,148.05,77.842
0.688,144.5,78.573
0.728,147.85,80.094
0.704,149.83,79.66
0.672,147.52,78.19
0.696,144.8,79.121
0.736,147.17,75.72
0.632,146.47,77.865
0.688,144.71,76.969
0.72,144.34,77.315
0.688,141.89,78.245
0.704,144.95,77.804
0.672,145.7,77.558
0.688,142.16,79.656
0.712,139.57,80.238
0.656,146.65,79.209
0.728,149.94,78.685
0.672,148.05,77.843
0.688,144.5,78.573
0.728,147.85,80.094
0.704,149.83,79.66
0.672,147.52,78.19
0.696,144.8,79.121
0.736,147.17,75.72
0.632,146.47,77.865
0.688,144.71,76.969
0.72,144.34,77.315
0.688,141.89,78.245
0.704,144.95,77.804
0.672,145.7,77.558
0.688,142.16,79.656
0.712,139.57,80.238
0.688,134.19,70.235
0.688,136.56,68.959
0.72,134.22,68.706
0.664,137.94,71.941
0.736,142.8,68.953
0.688,142.51,72.715
0.68,142.01,75.214
0.728,146.36,68.916
0.696,144.45,76.286
0.672,145.71,75.654
0.728,144.55,73.16
0.672,142.15,75.412
0.728,145.18,75.557
0.768,146.74,73.409
0.632,145.12,76.926
0.688,146.69,77.01
0.728,150.62,76.778
0.688,148.36,76.188
0.736,146.93,77.123
0.664,148.06,77.998
0.736,150.25,74.971
0.696,147.64,77.122
0.632,149.6,78.538
0.616,116.05,59.537
0.624,118.35,60.022
0.656,118.29,56.803
0.648,115.48,54.197
0.616,117.44,58.55
0.64,119.12,57.222
0.656,117.64,55.623
0.624,115.25,57.528
0.624,116.61,58.313
0.616,116.11,58.159
0.64,118.45,57.951
0.664,120.89,53.621
0.512,116.3,58.298
0.64,116.96,58.366
0.648,113.08,56.458
0.608,114.48,57.769
0.64,112.29,56.31
0.624,113.61,57.28
0.648,115.91,56.852
0.64,116.05,54.744
0.64,112.88,54.747
0.64,111.81,56.363
0.632,114.38,57.047
0.64,116.1,56.75
0.664,114.8,54.39
0.616,111.27,56.432
0.592,110.1,59.335
0.608,108.83,57.092
0.608,104.44,57.046
0.6,104.88,58.215
0.592,107.91,58.455
0.6,109.88,57.332
0.6,107.18,58.02
0.6,108.46,59.049
0.584,110.07,59.97
0.6,111.28,58.169
0.592,108.42,57.73
0.608,109.38,59.439
0.6,110.85,60.563
0.584,113.42,61.04
0.6,114.51,59.732
0.6,112.05,60.318
0.592,112.77,61.533
0.592,115.49,61.881
0.6,116.11,60.367
0.592,113.31,59.928
0.6,112.62,61.488
0.592,114.74,61.878
0.6,113.36,61.491
0.6,114.79,61.1
0.6,112.77,59.244
0.6,109.62,60.563
0.6,112.31,61.442
0.592,114.22,61.288
0.6,113.11,59.139
0.616,108.92,61.735
0.592,111.39,60.902
0.6,113.04,60.898
0.6,113.08,59.335
0.608,124.97,69.348
0.608,124.74,67.589
0.6,120.43,67.15
0.616,120.07,68.671
0.608,123.19,68.378
0.616,123.57,66.865
0.6,118.26,67.694
0.608,119.5,67.785
0.616,122.96,68.082
0.624,121.01,65.395
0.584,117.77,65.147
0.608,117.35,64.659
0.616,116.21,66.619
0.608,119.09,67.108
0.608,120.54,67.108
0.608,119.8,65.737
0.616,117.65,67.5
0.6,121.04,67.976
0.616,123.64,68.036
0.608,122.34,66.714
0.608,120.35,68.231
0.624,119.11,66.714
0.6,120.32,68.224
0.6,122.08,68.029
0.624,123.4,68.037
0.608,119.62,65.496
0.616,116.79,66.668
0.6,118.94,67.394
0.608,121.62,67.691
0.616,120.25,65.74
0.608,117.61,67.352
0.608,119.62,67.74
0.992,160.75,75.177
0.992,160.95,74.784
1.016,163.61,73.81
0.984,160.53,73.663
1.048,160.43,72.742
1.016,160.44,72.445
1.016,160.91,70.927
1.032,158.96,70.685
1.04,159.1,70.434
1.032,159.73,71.123
1.064,159.45,68.383
0.984,157.84,76.541
1,158.21,75.479
1,159.75,76.055
1.024,159.84,75.318
1.016,159.32,74.052
1.04,157.66,72.006
0.84,145.73,57.872
0.888,145.64,56.458
0.888,143.79,56.218
0.88,144.85,59.001
0.88,147.66,59.1
0.88,147.46,58.807
0.88,147.51,58.316
0.888,143.02,54.165
0.896,141.62,56.07
0.896,143.57,55.729
0.888,143.82,55.189
0.896,143.19,55.531
0.68,142.83,52.293
0.728,141.61,54.605
0.856,147.38,59.583
0.856,148.23,60.41
0.856,149.35,60.611
0.856,150.31,60.564
0.864,150.23,60.172
0.88,142.21,56.362
0.88,141.41,56.311
0.888,141,56.657
0.88,141,56.605
0.888,141.75,57.242
0.88,141.55,56.557
0.888,144.22,58.807
0.88,143.21,58.364
0.888,142.94,57.78
0.888,142.32,56.412
0.88,140.97,56.117
0.888,140.17,58.22
0.88,142.73,57.779
0.88,141.9,57.877
0.88,141.85,57.974
0.88,142.37,56.606
0.88,140.1,56.312
0.88,140.53,58.852
0.872,143.3,58.999
0.88,143.22,58.609
0.968,144.82,68.09
0.968,144.35,67.308
0.976,143.83,66.484
0.984,143.4,66.924
0.976,142.87,66.042
0.976,146.69,68.483
0.968,147.21,64.153
0.992,149.52,67.609
0.984,145.27,66.477
0.96,144.55,67.601
0.952,146,68.968
0.64,147.51,68.521
0.96,134.16,65.599
0.984,132.14,63.746
0.976,129.3,62.671
0.984,127.67,62.227
0.976,126.72,61.351
0.976,125.22,62.035
1,128.11,65.552
1.032,129.29,64.678
1.04,127.52,64.132
1.032,125.98,63.115
1.04,124.78,62.278
1.024,123.52,61.449
0.688,89.375,51.717
0.672,86.406,52.105
0.68,86.11,51.918
0.68,87.859,52.163
0.672,88.406,53.237
0.696,89.628,50.502
0.68,84.502,51.522
0.672,86.426,51.674
0.688,87.621,50.941
0.68,87.525,51.479
0.904,151.65,76.196
0.896,150.88,77.19
0.896,148.16,69.745
0.888,140.73,70.1
0.896,143.85,71.211
0.896,146.88,73.791
0.904,148.66,73.498
0.904,149.37,75.081
0.912,148.82,67.404
0.888,139.5,68.281
0.92,139.62,67.697
0.904,144.59,71.8
0.904,145.53,72.854
0.904,146.23,66.935
0.88,137.33,67.986
0.912,138.44,67.461
0.896,143.32,71.506
0.904,145.38,72.679
0.896,146.55,74.319
0.904,151.65,76.196
0.896,150.88,77.19
0.896,148.16,69.745
0.888,140.73,70.1
0.896,143.85,71.211
0.896,146.88,73.791
0.904,148.66,73.499
0.904,149.37,75.081
0.912,148.82,67.404
0.888,139.5,68.281
0.92,139.62,67.697
0.904,144.59,71.8
0.904,145.53,72.854
0.904,146.23,66.935
0.88,137.33,67.986
0.912,138.44,67.461
0.896,143.32,71.506
0.904,145.38,72.679
0.896,146.55,74.319
0.92,145.6,73.382
0.92,146.24,73.735
0.912,146.8,73.793
0.92,147,73.324
0.928,147.23,72.269
0.904,139.96,66.582
0.896,144.2,73.792
0.896,146.4,74.436
0.912,147.26,75.317
0.912,148.49,74.379
0.928,147.9,66.759
0.896,136.4,67.166
0.904,145.45,73.204
0.92,146.18,71.624
0.936,144.44,71.858
0.928,142.57,66.113
0.896,134.69,67.226
0.904,138.8,70.039
0.776,166.11,85.221
0.816,162.89,76.597
0.776,154.86,78.58
0.752,159.19,80.174
0.848,160.95,80.648
0.8,162.49,82.228
0.8,163.11,82.223
0.808,163.25,83.576
0.808,162.44,82.408
0.792,164.04,81.811
0.8,163.61,82.104
0.808,164.48,78.117
0.792,157.14,78.481
0.808,157.72,77.474
0.808,160.87,80.872
0.792,157.24,78.467
0.816,164.99,83.463
0.808,165.23,85.743
0.816,164.89,77.42
0.8,156.32,78.882
0.824,159.13,81.06
0.8,167.69,85.447
0.8,166.26,84.741
0.784,163.38,84.808
0.792,160.44,79.36
